Exp Category,State,Year,Value
Aggregate_Expenditure,Bihar,2009-10,42796.03
Aggregate_Expenditure,Bihar,2010-11,50704.52
Aggregate_Expenditure,Bihar,2011-12,60180.03
Aggregate_Expenditure,Bihar,2012-13,69206.57
Aggregate_Expenditure,Bihar,2013-14,80405.17
Aggregate_Expenditure,Bihar,2014-15,132186.89
Aggregate_Expenditure,Bihar,2015-16,120685.32
Aggregate_Expenditure,Chhattisgarh,1980-81,0
Aggregate_Expenditure,Chhattisgarh,1981-82,0
Aggregate_Expenditure,Chhattisgarh,1982-83,0
Aggregate_Expenditure,Chhattisgarh,1983-84,0
Aggregate_Expenditure,Chhattisgarh,1984-85,0
Aggregate_Expenditure,Chhattisgarh,1985-86,0
Aggregate_Expenditure,Chhattisgarh,1986-87,0
Aggregate_Expenditure,Chhattisgarh,1987-88,0
Aggregate_Expenditure,Chhattisgarh,1988-89,0
Aggregate_Expenditure,Chhattisgarh,1989-90,0
Aggregate_Expenditure,Chhattisgarh,1990-91,0
Aggregate_Expenditure,Chhattisgarh,1991-92,0
Aggregate_Expenditure,Chhattisgarh,1992-93,0
Aggregate_Expenditure,Chhattisgarh,1993-94,0
Aggregate_Expenditure,Chhattisgarh,1994-95,0
Aggregate_Expenditure,Chhattisgarh,1995-96,0
Aggregate_Expenditure,Chhattisgarh,1996-97,0
Aggregate_Expenditure,Chhattisgarh,1997-98,0
Aggregate_Expenditure,Chhattisgarh,1998-99,0
Aggregate_Expenditure,Chhattisgarh,1999-00,0
Aggregate_Expenditure,Chhattisgarh,2000-01,1917
Aggregate_Expenditure,Chhattisgarh,2001-02,5624
Aggregate_Expenditure,Chhattisgarh,2002-03,6822
Aggregate_Expenditure,Chhattisgarh,2003-04,8951
Aggregate_Expenditure,Chhattisgarh,2004-05,9647
Aggregate_Expenditure,Chhattisgarh,2005-06,9725
Aggregate_Expenditure,Chhattisgarh,2006-07,11991
Aggregate_Expenditure,Chhattisgarh,2007-08,15029
Aggregate_Expenditure,Chhattisgarh,2008-09,17713.97
Aggregate_Expenditure,Chhattisgarh,2009-10,21558.72
Aggregate_Expenditure,Chhattisgarh,2010-11,23564.68
Aggregate_Expenditure,Chhattisgarh,2011-12,28720.69
Aggregate_Expenditure,Chhattisgarh,2012-13,34819.25
Aggregate_Expenditure,Chhattisgarh,2013-14,39441.94
Aggregate_Expenditure,Chhattisgarh,2014-15,55979.35
Aggregate_Expenditure,Chhattisgarh,2015-16,65810.7
Aggregate_Expenditure,Goa,1980-81,0
Aggregate_Expenditure,Goa,1981-82,0
Aggregate_Expenditure,Goa,1982-83,0
Aggregate_Expenditure,Goa,1983-84,0
Aggregate_Expenditure,Goa,1984-85,0
Aggregate_Expenditure,Goa,1985-86,0
Aggregate_Expenditure,Goa,1986-87,255
Aggregate_Expenditure,Goa,1987-88,258
Aggregate_Expenditure,Goa,1988-89,284
Aggregate_Expenditure,Goa,1989-90,327
Aggregate_Expenditure,Goa,1990-91,395
Aggregate_Expenditure,Goa,1991-92,466
Aggregate_Expenditure,Goa,1992-93,499
Aggregate_Expenditure,Goa,1993-94,558
Aggregate_Expenditure,Goa,1994-95,601
Aggregate_Expenditure,Goa,1995-96,943
Aggregate_Expenditure,Goa,1996-97,946
Aggregate_Expenditure,Goa,1997-98,1270
Aggregate_Expenditure,Goa,1998-99,1458
Aggregate_Expenditure,Goa,1999-00,1614
Aggregate_Expenditure,Goa,2000-01,1962
Aggregate_Expenditure,Goa,2001-02,2353
Aggregate_Expenditure,Goa,2002-03,2401
Aggregate_Expenditure,Goa,2003-04,2416
Aggregate_Expenditure,Goa,2004-05,2541
Aggregate_Expenditure,Goa,2005-06,2849
Aggregate_Expenditure,Goa,2006-07,3176
Aggregate_Expenditure,Goa,2007-08,3559
Aggregate_Expenditure,Goa,2008-09,4517.43
Aggregate_Expenditure,Goa,2009-10,5524.45
Aggregate_Expenditure,Goa,2010-11,6228.9
Aggregate_Expenditure,Goa,2011-12,6953.57
Aggregate_Expenditure,Goa,2012-13,7346.45
Aggregate_Expenditure,Goa,2013-14,8149.5
Aggregate_Expenditure,Goa,2014-15,10131.41
Aggregate_Expenditure,Goa,2015-16,13102.77
Aggregate_Expenditure,Gujarat,1980-81,1442
Aggregate_Expenditure,Gujarat,1981-82,1565
Aggregate_Expenditure,Gujarat,1982-83,1949
Aggregate_Expenditure,Gujarat,1983-84,2178
Aggregate_Expenditure,Gujarat,1984-85,2463
Aggregate_Expenditure,Gujarat,1985-86,2625
Aggregate_Expenditure,Gujarat,1986-87,3323
Aggregate_Expenditure,Gujarat,1987-88,4089
Aggregate_Expenditure,Gujarat,1988-89,4374
Aggregate_Expenditure,Gujarat,1989-90,4844
Aggregate_Expenditure,Gujarat,1990-91,5470
Aggregate_Expenditure,Gujarat,1991-92,6908
Aggregate_Expenditure,Gujarat,1992-93,7987
Aggregate_Expenditure,Gujarat,1993-94,8408
Aggregate_Expenditure,Gujarat,1994-95,9498
Aggregate_Expenditure,Gujarat,1995-96,10811
Aggregate_Expenditure,Gujarat,1996-97,12576
Aggregate_Expenditure,Gujarat,1997-98,14875
Aggregate_Expenditure,Gujarat,1998-99,19172
Aggregate_Expenditure,Gujarat,1999-00,21466
Aggregate_Expenditure,Gujarat,2000-01,27175
Aggregate_Expenditure,Gujarat,2001-02,25651
Aggregate_Expenditure,Gujarat,2002-03,26921
Aggregate_Expenditure,Gujarat,2003-04,32986
Aggregate_Expenditure,Gujarat,2004-05,34900
Aggregate_Expenditure,Gujarat,2005-06,34235
Aggregate_Expenditure,Gujarat,2006-07,39200
Aggregate_Expenditure,Gujarat,2007-08,42681
Aggregate_Expenditure,Gujarat,2008-09,51897.42
Aggregate_Expenditure,Gujarat,2009-10,60335.23
Aggregate_Expenditure,Gujarat,2010-11,71606.61
Aggregate_Expenditure,Gujarat,2011-12,79414.19
Aggregate_Expenditure,Gujarat,2012-13,98281.32
Aggregate_Expenditure,Gujarat,2013-14,104720.58
Aggregate_Expenditure,Gujarat,2014-15,125490.25
Aggregate_Expenditure,Gujarat,2015-16,137518.73
Aggregate_Expenditure,Haryana,1980-81,607
Aggregate_Expenditure,Haryana,1981-82,696
Aggregate_Expenditure,Haryana,1982-83,917
Aggregate_Expenditure,Haryana,1983-84,960
Aggregate_Expenditure,Haryana,1984-85,1120
Aggregate_Expenditure,Haryana,1985-86,1315
Aggregate_Expenditure,Haryana,1986-87,1509
Aggregate_Expenditure,Haryana,1987-88,1663
Aggregate_Expenditure,Haryana,1988-89,1879
Aggregate_Expenditure,Haryana,1989-90,2121
Aggregate_Expenditure,Haryana,1990-91,2397
Aggregate_Expenditure,Haryana,1991-92,2727
Aggregate_Expenditure,Haryana,1992-93,2956
Aggregate_Expenditure,Haryana,1993-94,4109
Aggregate_Expenditure,Haryana,1994-95,6912
Aggregate_Expenditure,Haryana,1995-96,6131
Aggregate_Expenditure,Haryana,1996-97,7831
Aggregate_Expenditure,Haryana,1997-98,7806
Aggregate_Expenditure,Haryana,1998-99,8581
Aggregate_Expenditure,Haryana,1999-00,8359
Aggregate_Expenditure,Haryana,2000-01,9159
Aggregate_Expenditure,Haryana,2001-02,10728
Aggregate_Expenditure,Haryana,2002-03,10582
Aggregate_Expenditure,Haryana,2003-04,15122
Aggregate_Expenditure,Haryana,2004-05,14442
Aggregate_Expenditure,Haryana,2005-06,14830
Aggregate_Expenditure,Haryana,2006-07,19638
Aggregate_Expenditure,Haryana,2007-08,22079
Aggregate_Expenditure,Haryana,2008-09,26368.17
Aggregate_Expenditure,Haryana,2009-10,32561.93
Aggregate_Expenditure,Haryana,2010-11,34434.23
Aggregate_Expenditure,Haryana,2011-12,39751.43
Aggregate_Expenditure,Haryana,2012-13,46511.92
Aggregate_Expenditure,Haryana,2013-14,48928.65
Aggregate_Expenditure,Haryana,2014-15,63772.43
Aggregate_Expenditure,Haryana,2015-16,71674.8
Aggregate_Expenditure,Himachal Pradesh,1980-81,338
Aggregate_Expenditure,Himachal Pradesh,1981-82,297
Aggregate_Expenditure,Himachal Pradesh,1982-83,353
Aggregate_Expenditure,Himachal Pradesh,1983-84,385
Aggregate_Expenditure,Himachal Pradesh,1984-85,479
Aggregate_Expenditure,Himachal Pradesh,1985-86,588
Aggregate_Expenditure,Himachal Pradesh,1986-87,648
Aggregate_Expenditure,Himachal Pradesh,1987-88,805
Aggregate_Expenditure,Himachal Pradesh,1988-89,985
Aggregate_Expenditure,Himachal Pradesh,1989-90,992
Aggregate_Expenditure,Himachal Pradesh,1990-91,1118
Aggregate_Expenditure,Himachal Pradesh,1991-92,2341
Aggregate_Expenditure,Himachal Pradesh,1992-93,1447
Aggregate_Expenditure,Himachal Pradesh,1993-94,1691
Aggregate_Expenditure,Himachal Pradesh,1994-95,2009
Aggregate_Expenditure,Himachal Pradesh,1995-96,2350
Aggregate_Expenditure,Himachal Pradesh,1996-97,2633
Aggregate_Expenditure,Himachal Pradesh,1997-98,3453
Aggregate_Expenditure,Himachal Pradesh,1998-99,4167
Aggregate_Expenditure,Himachal Pradesh,1999-00,4714
Aggregate_Expenditure,Himachal Pradesh,2000-01,5315
Aggregate_Expenditure,Himachal Pradesh,2001-02,5670
Aggregate_Expenditure,Himachal Pradesh,2002-03,6616
Aggregate_Expenditure,Himachal Pradesh,2003-04,8096
Aggregate_Expenditure,Himachal Pradesh,2004-05,8034
Aggregate_Expenditure,Himachal Pradesh,2005-06,8587
Aggregate_Expenditure,Himachal Pradesh,2006-07,10091
Aggregate_Expenditure,Himachal Pradesh,2007-08,10614
Aggregate_Expenditure,Himachal Pradesh,2008-09,12492.35
Aggregate_Expenditure,Himachal Pradesh,2009-10,14030.92
Aggregate_Expenditure,Himachal Pradesh,2010-11,16131.28
Aggregate_Expenditure,Himachal Pradesh,2011-12,17328.51
Aggregate_Expenditure,Himachal Pradesh,2012-13,20714.59
Aggregate_Expenditure,Himachal Pradesh,2013-14,21271.18
Aggregate_Expenditure,Himachal Pradesh,2014-15,24894.61
Aggregate_Expenditure,Himachal Pradesh,2015-16,28338.62
Aggregate_Expenditure,Jammu & Kashmir,1980-81,428
Aggregate_Expenditure,Jammu & Kashmir,1981-82,548
Aggregate_Expenditure,Jammu & Kashmir,1982-83,504
Aggregate_Expenditure,Jammu & Kashmir,1983-84,620
Aggregate_Expenditure,Jammu & Kashmir,1984-85,747
Aggregate_Expenditure,Jammu & Kashmir,1985-86,889
Aggregate_Expenditure,Jammu & Kashmir,1986-87,989
Aggregate_Expenditure,Jammu & Kashmir,1987-88,1269
Aggregate_Expenditure,Jammu & Kashmir,1988-89,1404
Aggregate_Expenditure,Jammu & Kashmir,1989-90,1611
Aggregate_Expenditure,Jammu & Kashmir,1990-91,2021
Aggregate_Expenditure,Jammu & Kashmir,1991-92,2286
Aggregate_Expenditure,Jammu & Kashmir,1992-93,2321
Aggregate_Expenditure,Jammu & Kashmir,1993-94,2593
Aggregate_Expenditure,Jammu & Kashmir,1994-95,3339
Aggregate_Expenditure,Jammu & Kashmir,1995-96,3573
Aggregate_Expenditure,Jammu & Kashmir,1996-97,4021
Aggregate_Expenditure,Jammu & Kashmir,1997-98,4893
Aggregate_Expenditure,Jammu & Kashmir,1998-99,5849
Aggregate_Expenditure,Jammu & Kashmir,1999-00,7108
Aggregate_Expenditure,Jammu & Kashmir,2000-01,7829
Aggregate_Expenditure,Jammu & Kashmir,2001-02,8050
Aggregate_Expenditure,Jammu & Kashmir,2002-03,8738
Aggregate_Expenditure,Jammu & Kashmir,2003-04,8817
Aggregate_Expenditure,Jammu & Kashmir,2004-05,11127
Aggregate_Expenditure,Jammu & Kashmir,2005-06,13467
Aggregate_Expenditure,Jammu & Kashmir,2006-07,13873
Aggregate_Expenditure,Jammu & Kashmir,2007-08,17046
Aggregate_Expenditure,Jammu & Kashmir,2008-09,18749.89
Aggregate_Expenditure,Jammu & Kashmir,2009-10,22518.56
Aggregate_Expenditure,Jammu & Kashmir,2010-11,25568.92
Aggregate_Expenditure,Jammu & Kashmir,2011-12,29856.23
Aggregate_Expenditure,Jammu & Kashmir,2012-13,31778.03
Aggregate_Expenditure,Jammu & Kashmir,2013-14,31908.7
Aggregate_Expenditure,Jammu & Kashmir,2014-15,42471.21
Aggregate_Expenditure,Jammu & Kashmir,2015-16,45919.52
Aggregate_Expenditure,Jharkhand,1980-81,0
Aggregate_Expenditure,Jharkhand,1981-82,0
Aggregate_Expenditure,Jharkhand,1982-83,0
Aggregate_Expenditure,Jharkhand,1983-84,0
Aggregate_Expenditure,Jharkhand,1984-85,0
Aggregate_Expenditure,Jharkhand,1985-86,0
Aggregate_Expenditure,Jharkhand,1986-87,0
Aggregate_Expenditure,Jharkhand,1987-88,0
Aggregate_Expenditure,Jharkhand,1988-89,0
Aggregate_Expenditure,Jharkhand,1989-90,0
Aggregate_Expenditure,Jharkhand,1990-91,0
Aggregate_Expenditure,Jharkhand,1991-92,0
Aggregate_Expenditure,Jharkhand,1992-93,0
Aggregate_Expenditure,Jharkhand,1993-94,0
Aggregate_Expenditure,Jharkhand,1994-95,0
Aggregate_Expenditure,Jharkhand,1995-96,0
Aggregate_Expenditure,Jharkhand,1996-97,0
Aggregate_Expenditure,Jharkhand,1997-98,0
Aggregate_Expenditure,Jharkhand,1998-99,0
Aggregate_Expenditure,Jharkhand,1999-00,0
Aggregate_Expenditure,Jharkhand,2000-01,0
Aggregate_Expenditure,Jharkhand,2001-02,7934
Aggregate_Expenditure,Jharkhand,2002-03,9809
Aggregate_Expenditure,Jharkhand,2003-04,9738
Aggregate_Expenditure,Jharkhand,2004-05,11635
Aggregate_Expenditure,Jharkhand,2005-06,13417
Aggregate_Expenditure,Jharkhand,2006-07,15726
Aggregate_Expenditure,Jharkhand,2007-08,18360
Aggregate_Expenditure,Jharkhand,2008-09,20641.47
Aggregate_Expenditure,Jharkhand,2009-10,22712.77
Aggregate_Expenditure,Jharkhand,2010-11,26502.04
Aggregate_Expenditure,Jharkhand,2011-12,26007.07
Aggregate_Expenditure,Jharkhand,2012-13,30399.82
Aggregate_Expenditure,Jharkhand,2013-14,30063.74
Aggregate_Expenditure,Jharkhand,2014-15,50839.55
Aggregate_Expenditure,Jharkhand,2015-16,55492.95
Aggregate_Expenditure,Karnataka,1980-81,1302
Aggregate_Expenditure,Karnataka,1981-82,1409
Aggregate_Expenditure,Karnataka,1982-83,1739
Aggregate_Expenditure,Karnataka,1983-84,2002
Aggregate_Expenditure,Karnataka,1984-85,2615
Aggregate_Expenditure,Karnataka,1985-86,2894
Aggregate_Expenditure,Karnataka,1986-87,3069
Aggregate_Expenditure,Karnataka,1987-88,3437
Aggregate_Expenditure,Karnataka,1988-89,3778
Aggregate_Expenditure,Karnataka,1989-90,4401
Aggregate_Expenditure,Karnataka,1990-91,4979
Aggregate_Expenditure,Karnataka,1991-92,6248
Aggregate_Expenditure,Karnataka,1992-93,7100
Aggregate_Expenditure,Karnataka,1993-94,8089
Aggregate_Expenditure,Karnataka,1994-95,8859
Aggregate_Expenditure,Karnataka,1995-96,10406
Aggregate_Expenditure,Karnataka,1996-97,11981
Aggregate_Expenditure,Karnataka,1997-98,12601
Aggregate_Expenditure,Karnataka,1998-99,14886
Aggregate_Expenditure,Karnataka,1999-00,17818
Aggregate_Expenditure,Karnataka,2000-01,19664
Aggregate_Expenditure,Karnataka,2001-02,21938
Aggregate_Expenditure,Karnataka,2002-03,24074
Aggregate_Expenditure,Karnataka,2003-04,29267
Aggregate_Expenditure,Karnataka,2004-05,34246
Aggregate_Expenditure,Karnataka,2005-06,34973
Aggregate_Expenditure,Karnataka,2006-07,44085
Aggregate_Expenditure,Karnataka,2007-08,48031
Aggregate_Expenditure,Karnataka,2008-09,54038.82
Aggregate_Expenditure,Karnataka,2009-10,62963.51
Aggregate_Expenditure,Karnataka,2010-11,71934.09
Aggregate_Expenditure,Karnataka,2011-12,85756.16
Aggregate_Expenditure,Karnataka,2012-13,96601.17
Aggregate_Expenditure,Karnataka,2013-14,110648.7
Aggregate_Expenditure,Karnataka,2014-15,132835.44
Aggregate_Expenditure,Karnataka,2015-16,140534.43
Aggregate_Expenditure,Kerala,1980-81,855
Aggregate_Expenditure,Kerala,1981-82,1086
Aggregate_Expenditure,Kerala,1982-83,996
Aggregate_Expenditure,Kerala,1983-84,1322
Aggregate_Expenditure,Kerala,1984-85,1572
Aggregate_Expenditure,Kerala,1985-86,1969
Aggregate_Expenditure,Kerala,1986-87,2162
Aggregate_Expenditure,Kerala,1987-88,2251
Aggregate_Expenditure,Kerala,1988-89,2521
Aggregate_Expenditure,Kerala,1989-90,2889
Aggregate_Expenditure,Kerala,1990-91,3376
Aggregate_Expenditure,Kerala,1991-92,4005
Aggregate_Expenditure,Kerala,1992-93,4363
Aggregate_Expenditure,Kerala,1993-94,5138
Aggregate_Expenditure,Kerala,1994-95,5959
Aggregate_Expenditure,Kerala,1995-96,6922
Aggregate_Expenditure,Kerala,1996-97,7943
Aggregate_Expenditure,Kerala,1997-98,9818
Aggregate_Expenditure,Kerala,1998-99,10611
Aggregate_Expenditure,Kerala,1999-00,12900
Aggregate_Expenditure,Kerala,2000-01,13149
Aggregate_Expenditure,Kerala,2001-02,13132
Aggregate_Expenditure,Kerala,2002-03,16967
Aggregate_Expenditure,Kerala,2003-04,19769
Aggregate_Expenditure,Kerala,2004-05,20276
Aggregate_Expenditure,Kerala,2005-06,21115
Aggregate_Expenditure,Kerala,2006-07,23159
Aggregate_Expenditure,Kerala,2007-08,28692
Aggregate_Expenditure,Kerala,2008-09,32553.5
Aggregate_Expenditure,Kerala,2009-10,35833.48
Aggregate_Expenditure,Kerala,2010-11,40765.26
Aggregate_Expenditure,Kerala,2011-12,53789.14
Aggregate_Expenditure,Kerala,2012-13,62032.26
Aggregate_Expenditure,Kerala,2013-14,69369.89
Aggregate_Expenditure,Kerala,2014-15,82947.71
Aggregate_Expenditure,Kerala,2015-16,99277.74
Aggregate_Expenditure,Madhya Pradesh,1980-81,1590
Aggregate_Expenditure,Madhya Pradesh,1981-82,1677
Aggregate_Expenditure,Madhya Pradesh,1982-83,1938
Aggregate_Expenditure,Madhya Pradesh,1983-84,2324
Aggregate_Expenditure,Madhya Pradesh,1984-85,2522
Aggregate_Expenditure,Madhya Pradesh,1985-86,2916
Aggregate_Expenditure,Madhya Pradesh,1986-87,3349
Aggregate_Expenditure,Madhya Pradesh,1987-88,3932
Aggregate_Expenditure,Madhya Pradesh,1988-89,4596
Aggregate_Expenditure,Madhya Pradesh,1989-90,4823
Aggregate_Expenditure,Madhya Pradesh,1990-91,5899
Aggregate_Expenditure,Madhya Pradesh,1991-92,6637
Aggregate_Expenditure,Madhya Pradesh,1992-93,7663
Aggregate_Expenditure,Madhya Pradesh,1993-94,8878
Aggregate_Expenditure,Madhya Pradesh,1994-95,9315
Aggregate_Expenditure,Madhya Pradesh,1995-96,10582
Aggregate_Expenditure,Madhya Pradesh,1996-97,13093
Aggregate_Expenditure,Madhya Pradesh,1997-98,14225
Aggregate_Expenditure,Madhya Pradesh,1998-99,15968
Aggregate_Expenditure,Madhya Pradesh,1999-00,17957
Aggregate_Expenditure,Madhya Pradesh,2000-01,16924
Aggregate_Expenditure,Madhya Pradesh,2001-02,16960
Aggregate_Expenditure,Madhya Pradesh,2002-03,18989
Aggregate_Expenditure,Madhya Pradesh,2003-04,23923
Aggregate_Expenditure,Madhya Pradesh,2004-05,29413
Aggregate_Expenditure,Madhya Pradesh,2005-06,28975
Aggregate_Expenditure,Madhya Pradesh,2006-07,30217
Aggregate_Expenditure,Madhya Pradesh,2007-08,35265
Aggregate_Expenditure,Madhya Pradesh,2008-09,40030.26
Aggregate_Expenditure,Madhya Pradesh,2009-10,50032.45
Aggregate_Expenditure,Madhya Pradesh,2010-11,60055.18
Aggregate_Expenditure,Madhya Pradesh,2011-12,80658.96
Aggregate_Expenditure,Madhya Pradesh,2012-13,83497.32
Aggregate_Expenditure,Madhya Pradesh,2013-14,89764.16
Aggregate_Expenditure,Madhya Pradesh,2014-15,123389.57
Aggregate_Expenditure,Madhya Pradesh,2015-16,135972.07
Aggregate_Expenditure,Maharashtra,1980-81,2613
